Unit_Id,Annotation,Media_Unit-Annotation_Score,Expert,Trusted_Judgment,term1,b1,e1,term2,b2,e2,Unit,term1_UMLS
820020,cause,0.3713906764,0,0,HYPERTENSION,165,177,PRINDOLOL,91,100,"1 ,   2 ,   3 ,   4  Class:  beta Adrenergic Blocking Agents 24:24; CV100 (VA)  Synonyms:  PRINDOLOL; Pindolol; Viskazide; Visken  Uses  Hypertension  Magement of HYPERTENSION (alone or in combition with other classes of antihypertensive agents.",HYPERTENSION
820021,cause,0.6108472218,0,1,HYPERGLYCEMIA,110,123,INSULIN,63,70,"109  Hyperglycemia  In diabetic patients, dosage adjustment of INSULIN or oral hypoglycemics may be required; HYPERGLYCEMIA may occur and latent diabetes mellitus may become evident.",HYPERGLYCEMIA
820025,cause,0.1005037815,0,0,DEPRESSION,409,419,TRICYCLIC ANTIDEPRESSANTS,425,450,"BC  Specific recommendation: • Treat: ◊ Sialorrhea with amitriptyline, glycopyrrolate, or transdermal scopolamine patches; if sialorrhea is refractory, consider radiation therapy of the salivary glands or botulinum toxin injections of the salivary glands ◊ Thick mucus with propranolol or metoprolol ◊ Pseudobulbar affect or emotiol lability with dextromethorphan/quinidine, amitriptyline, or fluvoxamine ◊ DEPRESSION with TRICYCLIC ANTIDEPRESSANTS such as amitriptyline or newer agents such as sertraline ◊ Anxiety with anxiolytics such as benzodiazepines ◊ Insomnia with noninvasive ventilation, pain magement, antidepressants, or hypnotics, depending on.",DEPRESSION
820026,cause,0.130188911,0,0,HYPOGLYCEMIA,471,483,BLOOD GLUCOSE CONCENTRATIONS,536,564,"prolonged QT interval, torsades de pointes)  1  Concomitant use contraindicated  1    Digoxin Increased digoxin plasma concentrations  1  If used concomitantly, monitor digoxin plasma concentrations  1    Ergot alkaloids (ergotamine, dihydroergotamine) Possible pharmacokinetic interaction (increased plasma concentrations of ergot alkaloids resulting in ergotism)  1  Concomitant use contraindicated  1    Glipizide No clinically important pharmacokinetic interactions; HYPOGLYCEMIA reported  1  Dosage adjustments not needed; monitor BLOOD GLUCOSE CONCENTRATIONS according to current recommendations for patients with diabetes  1    Halofantrine.",HYPOGLYCEMIA
820027,cause,0,0,0,BIPOLAR DISORDER,61,77,DIVALPROEX SODIUM,131,148,"1 ,   2 ,   3 ,   4 ,   5 ,   6 ,   18 ,   22 ,   23 ,   26  BIPOLAR DISORDER  Magement (alone or in combition with lithium or DIVALPROEX SODIUM of acute manic episodes associated with bipolar I disorder.",BIPOLAR DISORDER
820029,cause,0.3273268354,0,0,PARKINSON'S DISEASE,130,149,LEVODOPA,92,100,"Kurth MC, Adler CH, St Hilaire M et al et al. Tolcapone improves motor function and reduces LEVODOPA requirement in patients with PARKINSON'S DISEASE experiencing motor fluctuations: a multicenter, double blind, randomized, placebo controlled trial.",PARKINSON'S DISEASE
820030,cause,0,0,0,ACIDOSIS,176,184,THAM,115,119,"a ,   100  Class:  Alkalinizing Agents 40:08; TN900 (VA)  Synonyms:  Tris Buffer; Tris(hydroxymethyl)aminomethane; THAM  Uses  Acidosis  Prevention and correction of metabolic ACIDOSIS associated with cardiac bypass surgery.",ACIDOSIS
820032,cause,0.130188911,0,0,RHABDOMYOSARCOMA,5,21,CYCLOPHOSPHAMIDE,72,88,"136  RHABDOMYOSARCOMA  Commonly used with dactinomycin, with or without CYCLOPHOSPHAMIDE as an adjunct to surgery and/or radiation therapy.",RHABDOMYOSARCOMA
820036,cause,0.53935989,0,0,DWARFISM,284,292,GROWTH HORMONE,224,238,"Pituitary, anterior  Front portion of small gland below hypothalamus  Influences growth, sexual development, skin pigmentation, thyroid function, adrenocortical function through effects on other endocrine glands (except for GROWTH HORMONE which acts directly on cells)  Hypofunction: DWARFISM in child; decrease in all other endocrine gland functions except parathyroids Hyperfunction: Acromegaly in adult; giantism in child Pituitary, posterior  Back portion of small gland below hypothalamus  Oxytocin increases uterine contraction  Hypofunction: Diabetes insipidus Antidiuretic hormone increases absorption of water by kidney tubule  Hyperfunction: Unknown Testes and ovaries  Testes.",DWARFISM
820037,cause,0.7504787744,0,1,ACNE,116,120,ISOTRETINOIN,145,157,"• A large, population based cohort study of 7195 isotretinoin users with acne and 13,700 oral antibiotic users with ACNE showed no evidence that ISOTRETINOIN increases risk of depression, suicide, or other psychiatric disorders ( 34.",ACNE
820039,cause,0.3110855084,0,0,INFLAMMATION,523,535,PREDNISONE,501,511,Anecdotal reports of efficacy of penicillin G with or without silymarin/silibinin in ALF due to Amanita phalloides Antifungal agent (flucozole)  Prophylaxis against fungal sepsis  100 200 mg po or iv; continue for the interval of compromised liver function  Prophylactic use of no proven benefit in patients with ALF  May interfere with other medications through CYP P450  There are no controlled trials of prophylactic antifungals that show a clinical utility in patients with ALF Corticosteroids (PREDNISONE  Decreases INFLAMMATION by suppression of migration of polymorphonuclear leukocytes and reversal of increased capillary permeability  20 mg/d.,INFLAMMATION
820041,cause,0.3698001308,0,0,ATRIAL FIBRILLATION,122,145,WARFARIN,71,79,"2010 09 13  Risk of bleeding with single, dual, or triple therapy with WARFARIN aspirin, and clopidogrel in patients with ATRIAL FIBRILLATION",ATRIAL FIBRILLATION
820045,cause,0.423999152,0,0,TYPE 2 DIABETES,205,220,ROSIGLITAZONE,134,147,"Similar findings were observed in an interim alysis of fractures in another large, ongoing, long term, controlled clinical trial of ROSIGLITAZONE to investigate cardiovascular endpoints in patients with TYPE 2 DIABETES ( GlaxoSmithKline letter.",TYPE 2 DIABETES
820052,cause,0.9838699101,0,0,HYPERGLYCEMIA,19,32,INSULIN RESISTANCE,40,58,Hyperlipidemia and HYPERGLYCEMIA due to INSULIN RESISTANCE and nolcoholic steatohepatitis may occur with lipodystrophy.,HYPERGLYCEMIA
820053,cause,0.8427009716,0,0,PARKINSON'S DISEASE,407,426,LEVODOPA INDUCED COMPLICATIONS,277,307,complications in Parkinson's disease  Lisuride for levodopa induced complications in Parkinson's disease  Lisuride versus bromocriptine for levodopa induced complications in Parkinson's disease  Non pharmacological therapies for dysphagia in Parkinson's disease  Pergolide for LEVODOPA INDUCED COMPLICATIONS in Parkinson's disease  Pergolide versus bromocriptine for levodopa induced motor complications in PARKINSON'S DISEASE  Pramipexole for levodopa induced complications in Parkinson's disease  Pramipexole versus bromocriptine for levodopa induced complications in Parkinson's disease  Ropinirole for levodopa induced complications in Parkinson's disease  Ropinirole versus bromocriptine for levodopa induced complications in Parkinson's.,PARKINSON'S DISEASE
820054,cause,0.3481553119,0,0,ADREL INSUFFICIENCY,175,196,CORTISOL,114,122,"For a critically ill patient thought to be at risk for adrel insufficiency and with unexplained shock, a random CORTISOL value >25 is reasoble evidence for the absence of ADREL INSUFFICIENCY.",ADREL INSUFFICIENCY
820055,cause,0.1036951695,0,0,HYPERALDOSTERONISM,107,129,SPIRONOLACTONE,60,74,"• Do not use response to an aldosterone antagonist, such as SPIRONOLACTONE as a screening test for primary HYPERALDOSTERONISM",HYPERALDOSTERONISM
820057,cause,0.3441236008,0,0,LUPUS NEPHRITIS LXV,140,159,PROTECTIVE EFFECT OF HYDROXYCHLOROQUINE ON REL DAMAGE,67,122,of belimumab in patients with active systemic lupus erythematosus  PROTECTIVE EFFECT OF HYDROXYCHLOROQUINE ON REL DAMAGE in patients with LUPUS NEPHRITIS LXV data from a multiethnic US cohort  A quality indicator set for systemic lupus erythematosus  British Medical Jourl  Systemic lupus erythematosus  Circulation.,LUPUS
820058,cause,0.474341649,0,0,ANTITHROMBIN III DEFICIENCY,194,225,ENDOGENOUS PLASMA ANTITHROMBIN III CONCENTRATIONS,115,164,"2  Confirm congenital antithrombin III deficiency based on clear family history of venous thrombosis and decreased ENDOGENOUS PLASMA ANTITHROMBIN III CONCENTRATIONS;  1 ,   6   exclude acquired ANTITHROMBIN III DEFICIENCY",ANTITHROMBIN III DEFICIENCY
820061,cause,0.3244428423,0,0,HIP OSTEOARTHRITIS,198,216,CHONDROITIN SULFATES OSTEOARTHRITIS,162,197,"Review: Based on evidence from higher quality trials, chondroitin does not reduce pain in knee or hip osteoarthritis  Rheumatology  About Star Ratings  Keywords: CHONDROITIN SULFATES OSTEOARTHRITIS HIP OSTEOARTHRITIS knee Pain  ACP Jourl Club.",OSTEOARTHRITIS
820066,cause,0,0,0,TYPE 2 DIABETES,286,301,SC INSULIN,174,184,"Outcomes:  Change in hemoglobin A 1c  (HbA 1c ) level, proportion of patients achieving HbA 1c  level   MAIN RESULTS  Inhaled insulin did not reduce HbA 1c  level as much as SC INSULIN in patients with type 1 and type 2 diabetes but did reduce it more than oral agents in patients with TYPE 2 DIABETES (Table.",TYPE 2 DIABETES
820072,cause,0.0966736489,0,0,TYPE 2 DIABETES MELLITUS,61,85,METFORMIN,0,9,METFORMIN: an update  Tests of glycemia for the diagnosis of TYPE 2 DIABETES MELLITUS  Effect of a multivitamin and mineral supplement on infection and quality of life.,TYPE 2 DIABETES MELLITUS
820073,cause,0,0,0,HOT FLASHES,75,86,ESTROGEN,100,108,"The 1 placebo controlled trial that found black cohosh to be effective for HOT FLASHES did not find ESTROGEN to be effective, which casts doubt on the study's validity.",HOT FLASHES
820074,cause,0.3405026123,0,0,HEARTBURN,135,144,OMEPRAZOLE,158,168,Lansoprazole provided more effective and faster relief for heartburn than did omeprazole in erosive esophagitis  Keywords: Esophagitis HEARTBURN Lansoprazole OMEPRAZOLE  ACP Jourl Club.,HEARTBURN
820078,cause,0.0821994937,0,0,ALS,143,146,RILUZOLE,219,227,The outcome of magnetic resonce spectroscopic studies assessing the ability of riluzole to retard the rate of neurol loss in patients with ALS may be of considerable interest in clarifying the biological effects of RILUZOLE in the treatment of ALS (4).,ALS
820081,cause,0.635998728,0,1,UNSTABLE ANGI,109,124,TIROFIBAN,56,65,Effects of platelet glycoprotein IIb/IIIa blockade with TIROFIBAN on adverse cardiac events IN PATIENTS WITH UNSTABLE ANGI OR ACUTE MYOCARDIAL infarction undergoing corory angioplasty.,UNSTABLE ANGI
820082,cause,0.260377822,0,0,IDIOPATHIC URTICARIA (EG HIVES,68,98,LORATADINE,132,142,"70 ,   73 ,   76 •  For  self medication  for magement of chronic IDIOPATHIC URTICARIA (EG HIVES importance of understanding that LORATADINE does not  prevent  hives.",HIVES
820084,cause,0,0,0,HYPERTENSION,180,196,HYDROCHLOROTHIAZIDE,108,127,Dosage and Administration  General  Hypertension  •  Fixed combition olmesartan/amlodipine and olmesartan/HYDROCHLOROTHIAZIDE tablets should not be used for initial treatment of HYPERTENSION,HYPERTENSION
820086,cause,0.1933472978,0,0,CHLAMYDIAL INFECTION,81,101,OFLOXACIN,160,169,"672  For empiric treatment of epididymitis   +   , especially when gonococcal or CHLAMYDIAL INFECTION is likely (e.g., in those   577 ,   672   Ofloxacin or levOFLOXACIN should be used  only  if epididymitis is not caused by gonorrhea (i.e., results of culture or nucleic acid amplification testing are negative for  N. gonorrhoeae ) or is most likely caused by sexually transmitted enteric bacteria.",CHLAMYDIAL INFECTION
820092,cause,0.9058216273,0,0,HYPOGLYCEMIA,179,191,GLUCAGON,38,46,• Progressive loss of epinephrine and GLUCAGON response to hypoglycemia with prolonged duration of diabetes contributes to the diminished perception of the adrenergic symptoms of HYPOGLYCEMIA and increases the risk of severe events.,HYPOGLYCEMIA
820094,cause,0.4931969619,0,0,TYPE 2 DIABETES,577,592,INSULIN SECRETION,391,408,"placebo controlled, multicentre trial  Voglibose for prevention of type 2 diabetes mellitus: a randomised, double blind trial in Japanese individuals with impaired glucose tolerance  Effect of fenofibrate on amputation events in people with type 2 diabetes mellitus (FIELD study): a prespecified alysis of a randomised controlled trial  Trajectories of glycaemia, insulin sensitivity, and INSULIN SECRETION before diagnosis of type 2 diabetes: an alysis from the Whitehall II study  Rosiglitazone evaluated for cardiovascular outcomes in oral agent combition therapy for TYPE 2 DIABETES (RECORD): a multicentre.",TYPE 2 DIABETES
820100,cause,0.1178511302,0,0,FEVER,242,247,ASPIRIN,233,240,"Random assignment was made to eight groups (Grs): Control (Gr I); aspirin administration only (Gr II); fasting only (Gr III); fever only (Gr IV); aspirin and fever (Gr V); fasting and fever (Gr VI); aspirin and fasting (Gr VII); and ASPIRIN, FEVER and fasting (Gr VIII.",FEVER
820101,cause,0.5207556439,0,0,AIRWAY INFLAMMATION,151,170,PREDNISONE,217,232,To determine whether late asthmatic reactions and the associated increase in airway responsiveness induced by toluene diisocyate (TDI) are linked to AIRWAY INFLAMMATION we investigated whether they are inhibited by PREDNISONE,INFLAMMATION
820103,cause,0.5163977795,0,0,THYROID DISORDER GOITER AND THYROID NODULES,93,136,ELEVATION OF SERUM THYROGLOBULIN IN WOMEN,30,71,"Noteworthy were 1) the marked ELEVATION OF SERUM THYROGLOBULIN IN WOMEN with past history of THYROID DISORDER GOITER AND THYROID NODULES; 2) the increase in goiter size in a third of the goitrous women, associated with biochemical evidence of functiol stimulation of the gland; 3) the indirect evidence of partial thyroidal autonomy in goitrous patients; and 4) the increase in the number and size of thyroid nodules during gestation.",GOITER
820107,cause,0.1360827635,0,0,IMMUNODEFICIENCY,55,71,ZEBRA ANTIBODY LEVELS,14,35,"Comparison of ZEBRA ANTIBODY LEVELS with the degree of IMMUNODEFICIENCY (CD4 cell counts), CDC grouping, and HIV p24 antigen positivity showed little association, suggesting that induction of ZEBRA antibodies is an early event after HIV infection.",IMMUNODEFICIENCY
820113,cause,0.2828427125,0,0,MEGALOBLASTIC,92,105,FOLIC ACID,57,67,The correlation between liver cirrhosis and dysbolism of FOLIC ACID and vitamin B12 and the MEGALOBLASTIC changes and clinical significance were discussed.,MEGALOBLASTIC
820114,cause,0.5222329679,0,0,ASTHMA,103,109,THEOPHYLLINE,184,196,Excretory patterns after theophylline ingestion before and during the administration of allopurinol in ASTHMA patients and in rats suggest the existence of three metabolic pathways of THEOPHYLLINE.,ASTHMA
820115,cause,0.7399400734,0,0,HYPOGLYCEMIA,226,238,GLUCAGON,189,197,"To assess the effect of glucagon on rel and hepatic glutamine gluconeogenesis, we infused six normal healthy postabsorptive subjects with glucagon at a rate chosen to produce circulating GLUCAGON concentrations found during HYPOGLYCEMIA and, using a combition of isotopic and net balance techniques, determined the systemic, rel, and hepatic glucose release and rel and hepatic production of glucose from glutamine.",HYPOGLYCEMIA
820118,cause,0.3375263703,0,0,ADREL FAILURE,147,162,HYDROCORTISONE,84,98,"After immediate discontinuation of heparin and starting therapy with daparoid and HYDROCORTISONE the clinical evolution was favourable, although ADREL FAILURE was irreversible.",ADREL FAILURE
820120,cause,0.3611575593,0,0,HYPERGLYCEMIA,288,301,INSULIN STIMULATED GLUCOSE TRANSPORT,242,278,"In conclusion, in streptozocin diabetes (a) reduction of intrinsic activity plays a major and early role in the impairment of basal glucose transport; (b) a defect in transporter translocation is the mechanism responsible for the decrease in INSULIN STIMULATED GLUCOSE TRANSPORT; and (c) HYPERGLYCEMIA per se affects the insulin stimulated glucose transport by altering the transporter translocation.",HYPERGLYCEMIA
820121,cause,0.1078327732,0,0,OCD WITHOUT CONCOMITANT DEPRESSION,56,90,CLOMIPRAMINE,40,52,Thirdly the evidence of the efficacy of CLOMIPRAMINE in OCD WITHOUT CONCOMITANT DEPRESSION reported by Montgomery 1980 and supported by other studies suggests that 5 HT uptake inhibitors have a specifically anti obsessiol effect.,DEPRESSION
820122,cause,0.625,0,0,NIDDM,21,26,METFORMIN,67,76,"IN POORLY CONTROLLED NIDDM SUBJECTS the primary MECHANISM BY WHICH METFORMIN IMPROVES GLYCEMIC CONTROL is related to the suppression of accelerated basal HGP, and this most likely is secondary to an inhibition of hepatic glycogenolysis.",NIDDM
820123,cause,0.9878291611,0,0,HYPOPARATHYROIDISM,87,105,VITAMIN D,138,152,Controversial is the pathogenesis of the absence of hypocalcemia in many patients with HYPOPARATHYROIDISM and the cause of the deficit of VITAMIN D,HYPOPARATHYROIDISM
820124,cause,0.6882472016,0,1,LEUKEMIA,79,87,METHOTREXATE,135,147,"Resistance to methotrexate was developed by continuous exposure of P388 murine LEUKEMIA cells in vitro to increasing concentrations of METHOTREXATE up to 1 X 10( 7) M. Once established, the resistance to methotrexate was stable.",LEUKEMIA
820127,cause,0.7592566024,0,0,A STRAIN OF STAPH,69,90,CLINDAMYCIN RESISTANCE,0,22,CLINDAMYCIN RESISTANCE followed the expected pattern by appearing in A STRAIN OF STAPH,STAPH
820129,cause,0.260377822,0,0,EDEMA,80,85,FUROSEMIDE,33,43,The occasiol administration of FUROSEMIDE was not effective to reduce general EDEMA but served for the acceleration of lymphatic draige after the release of the thoracic duct obstruction and the patient was extubated uneventfully on the sixth postoperative day.,EDEMA
820131,cause,0.4375949745,0,0,MYOCARDIAL INFARCTION,257,278,TISSUE PLASMINOGEN ACTIVATOR,188,216,"Coagulation factor VIII, von Willebrand factor, antithrombin, fibrinogen, plasminogen activator capacity, and inhibitors of fibrinolysis, including a recently discovered fast inhibitor of TISSUE PLASMINOGEN ACTIVATOR were measured three to six months after MYOCARDIAL INFARCTION in 116 male and 32 female patients aged less than 45 and in 136 age and sex matched random controls.",MYOCARDIAL INFARCTION
820132,cause,0.7378647874,0,0,VENTRICULAR TACHYCARDIA,124,147,METOPROLOL,51,61,"The patient took in 120 mgs prajmaline and 600 mgs METOPROLOL during the day of the case, which leads to cardiogenic shock, VENTRICULAR TACHYCARDIA and ventricular fibrillation.",VENTRICULAR TACHYCARDIA
820133,cause,0.1203858531,0,0,MYOCARDIAL INFARCTION,68,89,HEPARIN,99,106,Aspirin must be combined with a thrombolytic agent in patients with MYOCARDIAL INFARCTION and with HEPARIN in patients with unstable angi.,MYOCARDIAL INFARCTION
820134,cause,0,0,0,DEPENDENT DIABETICS (IDDM,16,41,NON INSULIN DEPENDENT DIABETICS,70,101,10 were insulin DEPENDENT DIABETICS (IDDM 24 insulin requiring and 66 NON INSULIN DEPENDENT DIABETICS (NIDDM.,IDDM
820135,cause,0.1524985703,0,0,PREECLAMPSIA,86,98,MAGNESIUM SULFATE,30,47,"In the US, the routine use of MAGNESIUM SULFATE for seizure prophylaxis in women with PREECLAMPSIA is an ingrained obstetric practice.",PREECLAMPSIA
820136,cause,0.5488212999,0,0,PUERPERAL OVARIAN VEIN THROMBOPHLEBITIS,212,251,HEPARIN INDUCED THROMBOCYTOPENIA,119,151,In contrast to difficulties in the magement of puerperal ovarian vein thrombophlebitis  occurring independently from HEPARIN INDUCED THROMBOCYTOPENIA (surgical treatment necessary in most cases)  occurrence of PUERPERAL OVARIAN VEIN THROMBOPHLEBITIS in relation to heparin induced thrombocytopenia seems to response better to fibrinolysis and anticoagulation.,THROMBOPHLEBITIS
820137,cause,0.8307471607,0,0,GOITERS,52,59,TRIIODOTHYRONINE,115,131,"Affected subjects are commonly eumetabolic and have GOITERS elevated plasma levels of total and free thyroxine and TRIIODOTHYRONINE normal thyroid hormone metabolism, and normal serum TSH levels (albeit high for the corresponding levels of thyroid hormone.",GOITERS
820139,cause,0.7811334659,0,0,ACQUIRED IMMUNODEFICIENCY SYNDROME,108,142,AZIDOTHYMIDINE,66,80,"Three other cases of porphyria cutanea tarda, not associated with AZIDOTHYMIDINE who subsequently developed ACQUIRED IMMUNODEFICIENCY SYNDROME have recently been described.",ACQUIRED IMMUNODEFICIENCY SYNDROME
820140,cause,0.2847473987,0,0,DIABETES TYPE I AND II,67,89,INSULIN,107,114,Hypersecretion of insulin increases the chance of the incidence of DIABETES TYPE I AND II while inhibiting INSULIN secretion helps prevent diabetes.,DIABETES TYPE I
820143,cause,0.4866642634,0,0,ENDOCRINE HYPOGODISM,267,289,TESTOSTERONE,218,230,"Godal hormone levels were categorised into three groups: 1: All godal hormones within normal range (normal), 2: Isolated elevated FSH, with LH, SHBG and testosterone within normal range (exocrine hypogodism), 3: TESTOSTERONE below and/or LH above normal range (ENDOCRINE HYPOGODISM).",HYPOGODISM
900001,cause,0.3015113446,0,0,ACUTE RHEUMATIC FEVER,156,177,RHEUMATIC FEVER,67,82,This case provides further evidence of a genetic predisposition to RHEUMATIC FEVER and demonstrates the continued value of penicillin in the prophylaxis of ACUTE RHEUMATIC FEVER,ACUTE RHEUMATIC FEVER
900005,cause,0.2828427125,0,0,DIABETIC KETOACIDOSIS,63,83,TYPE 1 DIABETES MELLITUS,35,59,Not  effective as sole therapy for TYPE 1 DIABETES MELLITUS or DIABETIC KETOACIDOSIS; insulin is necessary.,DIABETIC KETOACIDOSIS
900006,cause,0.254000254,0,0,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,15,54,SEPSIS,0,6,SEPSIS and the SYSTEMIC INFLAMMATORY RESPONSE SYNDROME are common and represent a major factor in morbidity and mortality in intensive care units and the critically ill,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME
900009,cause,0.5144957554,0,0,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS,0,37,LUPUS ERYTHEMATOSUS,19,38,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS (SCLE) is a subset of LUPUS ERYTHEMATOSUS which is characterized by unique cutaneous manifestations and immunological abnormalities.,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS
900011,cause,0.2626128657,0,0,ALLERGIC RHINITIS,108,124,ATOPIC HISTORY,83,97,"About one third of patients have a history of asthma, and up to one half have some ATOPIC HISTORY including ALLERGIC RHINITIS and sal polyps.",ALLERGIC RHINITIS
900013,cause,0,0,0,ATOPIC DERMATITIS,69,86,ATOPY,88,93,"Besides, an immunopathologic role for Candida has been suggested for ATOPIC DERMATITIS, ATOPY, and other conditions, overtly associated or not with Candida",ATOPIC DERMATITIS
900016,cause,0.1666666667,0,0,STRABISMIC AMBLYOPIA,184,203,STRABISMUS,240,250,"Visual evoked potentials (VEPs) produced by pattern reversal were compared with those elicited by onset of motion in 37 amblyopic children (20 with anisometropic amblyopia, seven with STRABISMIC AMBLYOPIA and 10 with both anisometropia and STRABISMUS",STRABISMIC AMBLYOPIA
900023,cause,0.1360827635,1,0,GYRATE ATROPHY,17,30,HYPERORNITHINEMIA,76,93,The diagnosis of GYRATE ATROPHY was confirmed biochemically and clinically; HYPERORNITHINEMIA and a deficiency of ornithine ketoacid transamise were confirmed biochemically.,GYRATE ATROPHY
900029,cause,0.375,0,0,GRAVES' DISEASE,97,111,THYROTOXICOSIS,118,132,"One was clinically euthyroid, whereas the other two were more unusual in that one had coincident GRAVES' DISEASE with THYROTOXICOSIS and one had primary myxodema.",GRAVES' DISEASE
900031,cause,0.4375949745,0,0,RESPIRATORY ALKALOSIS,64,85,HYPERVENTILATION,43,59,"They include increased oxygen consumption, HYPERVENTILATION and RESPIRATORY ALKALOSIS; increased cardiac output, systemic peripheral resistance and blood pressure; delayed gastric emptying; impaired uterine contractility and diminished uterine perfusion; and metabolic acidaemia",RESPIRATORY ALKALOSIS
900035,cause,0.133630621,0,0,HEMORRHAGIC SHOCK,93,110,HYPOVOLEMIA,77,88,Lactated Ringer's solution has been used for decades in the resuscitation of HYPOVOLEMIA and HEMORRHAGIC SHOCK,HEMORRHAGIC SHOCK
900039,cause,0.3396831102,0,0,DISCOID LUPUS,172,184,MALAR LUPUS RASHES,105,123,Direct immunofluorescence of the affected skin provided supportive evidence of cutaneous lupus in 60% of MALAR LUPUS RASHES and approximately 50% of subacute cutaneous and DISCOID LUPUS rashes.,DISCOID LUPUS
900040,cause,0.6933752453,0,0,HYPERSENSITIVITY,118,134,ALLERGIC REACTIONS,34,52,A combition of various kinds of ALLERGIC REACTIONS of both the specific immediate type and of the local reaction of HYPERSENSITIVITY of the slow type plays its role in the development of acute appendicitis.,HYPERSENSITIVITY
900043,cause,0,0,0,ALLERGIC RHINITIS,36,53,ATOPIC RESPIRATORY DISEASES,0,27,"ATOPIC RESPIRATORY DISEASES such as ALLERGIC RHINITIS and asthma represent the effects of an immunological response to allergens, mediated through immunoglobulins E. Development of a clinically significant atopic reaction depends on environmental exposure.",ALLERGIC RHINITIS
900046,cause,0.9091372901,1,1,DIABETIC NEUROPATHY,109,128,DIABETES MELLITUS,47,64,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY
